OTU	100_trimmed_R2	101_trimmed_R2	102_trimmed_R2	103_trimmed_R2	104_trimmed_R2	105_trimmed_R2	106_trimmed_R2	107_trimmed_R2	108_trimmed_R2	109_trimmed_R2	10_trimmed_R2	110_trimmed_R2	111_trimmed_R2	112_trimmed_R2	113_trimmed_R2	114_trimmed_R2	115_trimmed_R2	116_trimmed_R2	11_trimmed_R2	12_trimmed_R2	13_trimmed_R2	14_trimmed_R2	15_trimmed_R2	16_trimmed_R2	17_trimmed_R2	18_trimmed_R2	19_trimmed_R2	1_trimmed_R2	20_trimmed_R2	21_trimmed_R2	22_trimmed_R2	23_trimmed_R2	24_trimmed_R2	25_trimmed_R2	26_trimmed_R2	27_trimmed_R2	28_trimmed_R2	29_trimmed_R2	2_trimmed_R2	30_trimmed_R2	31_trimmed_R2	32_trimmed_R2	33_trimmed_R2	34_trimmed_R2	35_trimmed_R2	36_trimmed_R2	37_trimmed_R2	38_trimmed_R2	39_trimmed_R2	3_trimmed_R2	40_trimmed_R2	41_trimmed_R2	42_trimmed_R2	43_trimmed_R2	44_trimmed_R2	45_trimmed_R2	46_trimmed_R2	47_trimmed_R2	48_trimmed_R2	49_trimmed_R2	4_trimmed_R2	50_trimmed_R2	51_trimmed_R2	52_trimmed_R2	53_trimmed_R2	54_trimmed_R2	55_trimmed_R2	56_trimmed_R2	57_trimmed_R2	58_trimmed_R2	59_trimmed_R2	5_trimmed_R2	60_trimmed_R2	61_trimmed_R2	62_trimmed_R2	63_trimmed_R2	64_trimmed_R2	65_trimmed_R2	66_trimmed_R2	67_trimmed_R2	68_trimmed_R2	69_trimmed_R2	6_trimmed_R2	70_trimmed_R2	71_trimmed_R2	72_trimmed_R2	73_trimmed_R2	74_trimmed_R2	75_trimmed_R2	76_trimmed_R2	77_trimmed_R2	78_trimmed_R2	79_trimmed_R2	7_trimmed_R2	80_trimmed_R2	81_trimmed_R2	82_trimmed_R2	83_trimmed_R2	84_trimmed_R2	85_trimmed_R2	86_trimmed_R2	87_trimmed_R2	88_trimmed_R2	89_trimmed_R2	8_trimmed_R2	90_trimmed_R2	91_trimmed_R2	92_trimmed_R2	93_trimmed_R2	94_trimmed_R2	95_trimmed_R2	96_trimmed_R2	97_trimmed_R2	98_trimmed_R2	99_trimmed_R2	9_trimmed_R2
DENOVO1	12208	22574	20784	26593	11116	14993	23799	12663	17417	11051	22251	14768	15663	6150	16694	9262	15270	14689	26682	25700	40608	22570	22122	22482	26969	21769	26152	27402	27380	25704	27778	30324	24647	26067	22668	12968	34497	5908	19163	23306	34306	20777	31797	22650	28360	37359	21042	17222	14738	28077	7894	16495	3636	45588	9226	15264	10695	19685	14082	4924	20093	5285	4733	28639	7030	10342	8374	13976	10178	14933	16041	26256	18303	18470	25323	13687	16399	9646	16482	14872	20007	24639	18060	17791	19267	27753	8054	13950	6703	11503	14127	10368	10536	26827	3304	6726	22087	15056	11414	14458	13532	11205	2096	21616	17757	10794	12247	15534	8003	14678	9262	18715	19493	41961	6900	20308
DENOVO2	16722	30506	30073	35308	15758	19955	32008	17820	21440	14358	17439	18785	20826	8015	22646	11585	20409	18655	20858	21770	32595	19199	18638	17353	20549	16917	22188	22255	21819	20447	22468	24311	19630	19919	17752	10423	25259	4846	15298	17643	26851	15994	24153	16624	21154	27320	17359	13649	12933	21732	6197	12272	2644	34669	7306	12346	8256	15124	10863	3763	15592	3612	3609	22213	5233	8307	6339	11241	7804	10985	12367	19104	14521	14779	20222	10548	12516	7325	13370	15160	21519	25189	13598	16020	16780	24834	9946	18002	7813	13782	17261	11922	13400	23537	4157	6994	24912	17352	14464	18092	16810	12934	2438	15775	15412	14444	16398	19233	11489	19646	12094	23938	27027	56537	9514	16644
DENOVO3	23788	33066	31566	39986	11218	25751	80146	15120	38616	35992	1611	26268	18242	5096	19262	16378	26924	21617	2811	1941	6458	4493	5334	892	4215	2941	5405	1879	9156	9861	5140	2026	2738	2922	2628	4788	5360	2095	1824	3067	4455	4219	4647	5070	3328	3405	8165	5039	7006	4482	1799	3637	743	11801	1658	3880	1849	2203	2059	26822	2722	30707	13986	5573	2479	1940	12324	14812	11376	8600	4788	2115	1924	14970	26377	14811	2808	2680	1617	7979	11223	13574	1772	2107	2326	2030	13750	12957	6624	16257	16407	16789	4980	5290	2552	11246	34129	20414	5148	10963	16789	29252	5660	21287	3378	3842	9471	14276	32788	46848	39801	42581	50920	75645	16922	3200
DENOVO4	13689	18644	27737	26786	8706	30293	59550	16097	17583	13911	3945	12869	25059	5565	20853	13272	21739	19814	7161	4301	3061	1490	2946	1946	9360	6618	2735	430	5484	3975	12439	5764	6108	1318	1057	1155	7903	2494	330	6133	2150	1679	1887	7355	4115	4678	1752	1166	1756	1018	2593	7273	1370	3606	517	1420	3650	5034	3523	358	1997	449	197	8992	3996	3015	346	501	311	2465	4358	2044	4152	716	1318	494	3231	2039	4009	171	221	359	1430	2404	3237	2898	9144	8887	4768	12240	9066	15198	6938	1631	1730	7076	20123	12195	4800	11039	10515	12233	3075	7898	1150	4474	7381	8594	7572	23965	25115	17131	17193	28407	10599	1237
DENOVO5	2168	13034	11405	11249	124	9877	23241	2319	2907	3254	8	6069	9945	501	9019	6214	12286	17615	13	0	0	0	0	0	4	2	3	2	3	0	0	2	0	131	111	88	0	0	3	2	1	0	7	0	0	0	28	11	1	3	0	1	1	327	4	4	3	1	0	773	14	850	1050	2642	13	0	4	28	272	140	153	19	1345	4	1	10	15	76	1070	182	340	38	118	0	18	241	869	2310	1724	4367	804	0	1	10	5	818	71	367	145	0	0	0	1	3432	0	1944	58	806	16	18	7	15	19229	24856	6748	1
DENOVO6	3723	1578	2415	764	2063	6266	6720	675	266	2053	0	86	1874	233	456	486	339	404	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	4527	446	115	672	5605	13297	239	0	49	368	2816	2381	173	972	6592	2416	94	310	0	97	689	799	2667	1187	1903	735	2046	2638	153	0
DENOVO7	0	0	0	0	0	2	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	0	0	0	0	0	0	0	0	0	0	0	41	33	14	0	0	0	0	39	0	20	0	0	0	1942	0	3757	3939	2	0	0	1170	4389	1437	1	6	0	0	589	2577	535	3	0	2	3661	2444	2552	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
DENOVO8	1600	3038	2072	3504	1566	2213	3286	2351	2136	2539	1785	1224	1870	877	2568	1292	2805	2668	2695	2159	4351	1387	2018	2096	2893	2380	3033	2053	3559	2777	3365	3265	3243	1994	1376	5954	2282	2597	1245	1048	2098	1554	2439	1227	4292	2482	3464	1002	1255	2133	1091	1134	254	3329	671	1216	664	1384	1199	391	1303	390	426	1808	411	527	626	1257	616	1061	1339	1673	1426	1556	1972	1180	1428	592	1667	1380	2008	2173	1155	1177	1514	2775	1052	1711	786	1352	1804	988	1231	2003	507	704	2176	1878	1417	2142	1458	2127	1633	1525	1714	955	1936	1513	1573	1479	1637	2561	2815	4699	1049	1855
DENOVO9	1203	2351	1539	2700	1236	1577	2272	1842	1775	2244	2256	902	1400	621	1988	1052	2125	2143	3586	2521	5077	1548	2463	2645	3814	3176	3674	2473	4380	3361	4253	4107	4118	2528	1851	7617	2964	3774	1645	1477	2577	1896	3002	1807	5933	3492	4479	1231	1521	2588	1359	1494	337	4371	789	1432	934	1644	1628	592	1736	464	426	2300	563	642	770	1522	759	1329	1715	2231	1677	1959	2454	1472	1765	779	2049	1341	1892	1983	1668	1357	1751	2943	834	1424	684	1156	1391	859	1030	2216	421	730	1865	1655	1115	1747	1231	1873	1560	2056	1895	671	1378	1062	1204	1098	1298	1933	2027	3446	750	2276
DENOVO10	218	1361	1339	1200	21	1007	2392	202	303	307	0	706	1072	49	864	656	1198	1707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	1	1	0	1	0	0	0	3	0	0	0	1	2	0	0	0	0	0	29	2	1	0	0	0	80	1	77	105	309	2	0	0	0	30	7	13	1	131	0	0	0	1	4	112	22	38	1	12	0	1	25	102	250	197	460	80	0	1	0	0	85	4	42	14	0	0	0	0	331	0	224	2	97	0	1	1	5	2106	2870	742	0
