	miseq	extraction	Sample	Days_maturation	Replicate	Label	Treatment	Locality	Locality_short	Maturation_type
1_trimmed_R1	1	1	1B	15	A	1B15_A	1L	BALLABIO	BAL	Traditional
2_trimmed_R1	2	2	1B	15	B	1B15_B	1L	BALLABIO	BAL	Traditional
3_trimmed_R1	3	3	1B	15	C	1B15_C	1L	BALLABIO	BAL	Traditional
4_trimmed_R1	4	4	1P	15	A	1P15_A	1L	PANDINO	PAN	Modern
5_trimmed_R1	5	5	1P	15	B	1P15_B	1L	PANDINO	PAN	Modern
6_trimmed_R1	6	6	1P	15	C	1P15_C	1L	PANDINO	PAN	Modern
7_trimmed_R1	7	7	1B	35	A	1B35_A	1L	BALLABIO	BAL	Traditional
8_trimmed_R1	8	8	1B	35	B	1B35_B	1L	BALLABIO	BAL	Traditional
9_trimmed_R1	9	9	1B	35	C	1B35_C	1L	BALLABIO	BAL	Traditional
10_trimmed_R1	10	10	1P	35	A	1P35_A	1L	PANDINO	PAN	Modern
11_trimmed_R1	11	11	1P	35	B	1P35_B	1L	PANDINO	PAN	Modern
12_trimmed_R1	12	12	1P	35	C	1P35_C	1L	PANDINO	PAN	Modern
13_trimmed_R1	13	13	1B	45	A	1B45_A	1L	BALLABIO	BAL	Traditional
14_trimmed_R1	14	14	1B	45	B	1B45_B	1L	BALLABIO	BAL	Traditional
15_trimmed_R1	15	15	1B	45	C	1B45_C	1L	BALLABIO	BAL	Traditional
16_trimmed_R1	16	16	1P	45	A	1P45_A	1L	PANDINO	PAN	Modern
17_trimmed_R1	17	17	1P	45	B	1P45_B	1L	PANDINO	PAN	Modern
18_trimmed_R1	18	18	1P	45	C	1P45_C	1L	PANDINO	PAN	Modern
19_trimmed_R1	19	19	1B	60	A	1B60_A	1L	BALLABIO	BAL	Traditional
20_trimmed_R1	20	20	1B	60	B	1B60_B	1L	BALLABIO	BAL	Traditional
21_trimmed_R1	21	21	1B	60	C	1B60_C	1L	BALLABIO	BAL	Traditional
22_trimmed_R1	22	22	1P	60	A	1P60_A	1L	PANDINO	PAN	Modern
23_trimmed_R1	23	23	1P	60	B	1P60_B	1L	PANDINO	PAN	Modern
24_trimmed_R1	24	24	1P	60	C	1P60_C	1L	PANDINO	PAN	Modern
25_trimmed_R1	25	25	2B	15	A	2B15_A	2L	BALLABIO	BAL	Traditional
26_trimmed_R1	26	26	2B	15	B	2B15_B	2L	BALLABIO	BAL	Traditional
27_trimmed_R1	27	27	2B	15	C	2B15_C	2L	BALLABIO	BAL	Traditional
28_trimmed_R1	28	28	2P	15	A	2P15_A	2L	PANDINO	PAN	Modern
29_trimmed_R1	29	29	2P	15	B	2P15_B	2L	PANDINO	PAN	Modern
30_trimmed_R1	30	30	2P	15	C	2P15_C	2L	PANDINO	PAN	Modern
31_trimmed_R1	31	31	2B	35	A	2B35_A	2L	BALLABIO	BAL	Traditional
32_trimmed_R1	32	32	2B	35	B	2B35_B	2L	BALLABIO	BAL	Traditional
33_trimmed_R1	33	33	2B	35	C	2B35_C	2L	BALLABIO	BAL	Traditional
34_trimmed_R1	34	34	2P	35	A	2P35_A	2L	PANDINO	PAN	Modern
35_trimmed_R1	35	35	2P	35	B	2P35_B	2L	PANDINO	PAN	Modern
36_trimmed_R1	36	36	2P	35	C	2P35_C	2L	PANDINO	PAN	Modern
37_trimmed_R1	37	37	2B	45	A	2B45_A	2L	BALLABIO	BAL	Traditional
38_trimmed_R1	38	38	2B	45	B	2B45_B	2L	BALLABIO	BAL	Traditional
39_trimmed_R1	39	39	2B	45	C	2B45_C	2L	BALLABIO	BAL	Traditional
40_trimmed_R1	40	40	2P	45	A	2P45_A	2L	PANDINO	PAN	Modern
41_trimmed_R1	41	41	2P	45	B	2P45_B	2L	PANDINO	PAN	Modern
42_trimmed_R1	42	42	2P	45	C	2P45_C	2L	PANDINO	PAN	Modern
43_trimmed_R1	43	43	2B	60	A	2B60_A	2L	BALLABIO	BAL	Traditional
44_trimmed_R1	44	44	2B	60	B	2B60_B	2L	BALLABIO	BAL	Traditional
45_trimmed_R1	45	45	2B	60	C	2B60_C	2L	BALLABIO	BAL	Traditional
46_trimmed_R1	46	46	2P	60	A	2P60_A	2L	PANDINO	PAN	Modern
