OTU	100_trimmed_R1	101_trimmed_R1	102_trimmed_R1	103_trimmed_R1	104_trimmed_R1	105_trimmed_R1	106_trimmed_R1	107_trimmed_R1	108_trimmed_R1	109_trimmed_R1	10_trimmed_R1	110_trimmed_R1	111_trimmed_R1	112_trimmed_R1	113_trimmed_R1	114_trimmed_R1	115_trimmed_R1	116_trimmed_R1	11_trimmed_R1	12_trimmed_R1	13_trimmed_R1	14_trimmed_R1	15_trimmed_R1	16_trimmed_R1	17_trimmed_R1	18_trimmed_R1	19_trimmed_R1	1_trimmed_R1	20_trimmed_R1	21_trimmed_R1	22_trimmed_R1	23_trimmed_R1	24_trimmed_R1	25_trimmed_R1	26_trimmed_R1	27_trimmed_R1	28_trimmed_R1	29_trimmed_R1	2_trimmed_R1	30_trimmed_R1	31_trimmed_R1	32_trimmed_R1	33_trimmed_R1	34_trimmed_R1	35_trimmed_R1	36_trimmed_R1	37_trimmed_R1	38_trimmed_R1	39_trimmed_R1	3_trimmed_R1	40_trimmed_R1	41_trimmed_R1	42_trimmed_R1	43_trimmed_R1	44_trimmed_R1	45_trimmed_R1	46_trimmed_R1	47_trimmed_R1	48_trimmed_R1	49_trimmed_R1	4_trimmed_R1	50_trimmed_R1	51_trimmed_R1	52_trimmed_R1	53_trimmed_R1	54_trimmed_R1	55_trimmed_R1	56_trimmed_R1	57_trimmed_R1	58_trimmed_R1	59_trimmed_R1	5_trimmed_R1	60_trimmed_R1	61_trimmed_R1	62_trimmed_R1	63_trimmed_R1	64_trimmed_R1	65_trimmed_R1	66_trimmed_R1	67_trimmed_R1	68_trimmed_R1	69_trimmed_R1	6_trimmed_R1	70_trimmed_R1	71_trimmed_R1	72_trimmed_R1	73_trimmed_R1	74_trimmed_R1	75_trimmed_R1	76_trimmed_R1	77_trimmed_R1	78_trimmed_R1	79_trimmed_R1	7_trimmed_R1	80_trimmed_R1	81_trimmed_R1	82_trimmed_R1	83_trimmed_R1	84_trimmed_R1	85_trimmed_R1	86_trimmed_R1	87_trimmed_R1	88_trimmed_R1	89_trimmed_R1	8_trimmed_R1	90_trimmed_R1	91_trimmed_R1	92_trimmed_R1	93_trimmed_R1	94_trimmed_R1	95_trimmed_R1	96_trimmed_R1	97_trimmed_R1	98_trimmed_R1	99_trimmed_R1	9_trimmed_R1
DENOVO1	15859	31130	24808	35525	14705	19899	31031	18633	22935	17906	31069	16790	19934	8221	23530	12676	22113	21229	39629	35449	60735	27730	31174	32057	41201	33473	40081	35988	44224	39252	43182	46463	39707	34943	28920	32299	45126	16422	24655	27662	44077	27780	43079	28982	46797	50200	36340	21483	20740	37726	12691	22265	4855	62863	12131	20810	13552	25907	20346	6796	25893	6711	6242	36597	9023	11877	11097	19256	12582	20235	22987	34195	24653	26346	34067	19033	22587	11799	23736	19970	26991	32577	22781	21940	25822	38389	11207	19108	9017	15498	19511	12961	14163	34532	4638	9196	28906	21189	15565	20943	17622	18326	5913	29171	24750	13274	17274	19623	12076	17918	13280	25242	25545	52723	9397	28976
DENOVO2	23899	43919	38919	51505	22646	29535	46029	27731	31209	24877	25891	23945	29586	11711	33835	17091	31467	29417	32360	31472	51607	25541	28060	26510	33333	27295	35073	31448	37159	32745	37027	38599	33398	29087	24210	27629	35664	12975	20911	22369	36766	22918	34937	22507	36785	38521	30949	18267	18721	30687	10402	17579	3798	50127	10571	18026	11296	21696	16239	5405	21999	5043	5113	30706	7141	10280	9249	16783	10626	15652	18178	26597	20948	21905	28919	15593	18694	9672	20725	21896	30788	35519	18186	21475	24069	36796	14825	26269	11517	19942	26368	16487	19487	32605	6572	10391	35844	26096	21916	28191	24131	22696	7083	22511	22975	18737	25097	26456	18667	25641	19211	35570	39301	77436	13723	24746
DENOVO3	41887	57664	63621	73677	21230	63411	156561	35128	61962	57594	5368	40785	47445	11820	45166	33281	55912	47296	10284	6170	9512	5509	8902	2651	14794	10502	8383	2221	15883	14866	18960	7864	9504	4451	3808	6810	13816	5083	2255	9028	6549	5670	6618	12954	7893	8362	10667	6038	8886	5797	4512	11453	2183	15317	2272	5149	5414	7365	5625	30931	4928	34088	15421	15559	6643	5151	13453	16727	12308	11612	9341	4401	6296	16978	28843	16726	6252	4733	5828	8232	11869	13841	3120	4080	5300	4660	25779	23906	12626	32123	27783	35466	12916	7084	4682	20418	57614	35959	10244	23845	29290	45188	10904	31618	4444	8468	18083	23258	45658	75129	71349	65764	75896	112790	31124	4310
DENOVO4	2337	14294	12631	12235	187	11115	26258	2321	2986	3597	6	6934	11160	533	10076	7222	14000	20319	15	2	0	0	0	0	6	6	0	5	4	0	0	1	0	143	123	90	5	0	5	3	1	0	14	0	0	0	25	3	2	4	0	0	4	340	2	7	2	0	0	999	7	795	1126	2895	18	3	2	19	313	148	145	18	1356	9	4	7	8	78	1154	171	328	24	118	4	12	214	953	2532	1976	4649	743	9	8	7	6	828	77	419	119	7	3	1	7	3806	0	2124	70	871	86	121	46	66	22028	28012	7707	1
DENOVO5	3961	1623	2230	795	2032	6926	7253	761	272	2413	1	95	1876	271	425	477	420	414	0	0	1	2	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	1	0	2	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	0	2	2	0	0	4865	473	113	663	5978	13889	283	0	39	357	2775	2580	152	979	6667	2499	110	298	0	111	720	679	3149	1163	2059	755	2144	2571	176	0
DENOVO6	696	1523	1570	1760	609	1051	1709	675	972	572	639	909	999	307	1262	729	1008	1445	731	869	965	810	652	704	866	655	633	952	881	580	1141	875	800	817	723	934	1069	587	651	843	1078	739	957	779	1093	1108	617	582	478	756	341	559	125	1200	290	411	458	587	438	226	644	240	172	1139	226	441	304	531	382	504	397	804	709	458	1070	441	570	386	784	394	722	673	807	667	636	1046	311	680	306	753	531	395	376	898	107	329	829	452	389	386	555	543	278	1065	585	524	320	664	250	563	408	644	1364	2967	455	645
DENOVO7	3	2	9	2	4	3	20	0	3	1	1	6	3	2	3	4	1	6	0	0	1	1	0	2	1	1	2	0	0	0	0	0	0	14	10	3	0	2	1	1	0	2	0	0	0	0	30	35	13	0	0	1	0	33	0	18	0	0	0	2041	1	3898	4041	3	2	12	1098	4518	1372	2	8	0	2	555	2406	553	4	1	5	3582	2234	2266	1	6	0	1	6	1	0	2	2	12	0	0	1	0	5	0	0	0	4	1	1	2	0	2	0	3	1	4	5	1	7	14	2	0
DENOVO8	334	1944	1512	1679	21	1554	3583	307	391	488	0	787	1513	66	1400	1006	1946	2811	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	16	11	11	0	0	0	0	0	0	1	0	0	0	6	1	0	0	0	1	0	43	0	0	0	0	0	124	2	100	176	384	3	0	0	0	27	16	25	3	215	0	0	2	1	2	130	13	45	3	12	0	0	32	121	287	259	580	96	0	3	2	1	111	4	45	14	2	0	1	0	508	0	239	9	93	12	13	2	4	3118	3722	1043	0
DENOVO9	6	0	8	30	3	9	34	17	0	0	105	0	8	3	19	0	0	0	176	24	22	0	21	12	36	18	15	104	30	8	86	27	62	113	47	4	5088	2289	36	1428	0	3	0	1978	1848	2011	3	2	0	11	674	800	140	0	0	1	398	453	326	5	28	0	0	324	260	171	0	0	0	71	63	41	103	0	0	0	30	18	56	0	0	1	34	29	18	37	0	0	0	1	0	0	0	4	0	3	0	0	0	0	0	5	7	0	13	0	0	1	0	0	0	0	3	0	2	0
DENOVO10	315	1185	1007	1206	78	615	1041	305	299	266	10	443	622	80	835	421	779	979	8	5	12	12	6	12	16	7	8	2	11	8	5	10	11	17	17	9	19	4	6	9	13	4	6	8	9	12	9	10	9	13	2	4	1	40	3	4	1	6	6	10	14	2	25	165	7	5	1	6	9	28	16	5	122	6	8	3	8	4	69	41	58	17	14	6	23	42	77	308	165	508	166	12	40	9	8	112	27	89	84	7	26	27	10	274	5	226	24	176	41	65	40	23	952	1901	372	6
DENOVO11	1929	465	195	121	1479	626	944	19	66	516	0	68	152	81	58	110	40	65	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	19	6	45	428	146	9	0	8	23	58	139	7	119	186	120	4	22	0	8	21	18	704	194	161	306	1481	212	7	0
DENOVO12	991	443	276	270	407	330	1951	90	402	1010	0	220	206	111	276	279	277	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	337	47	24	118	993	965	35	0	18	145	136	224	15	35	220	69	9	18	0	20	59	108	741	274	382	224	459	916	126	0
DENOVO13	135	747	509	620	8	597	1355	137	129	203	2	221	555	34	538	387	846	950	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	8	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	1	0	0	0	54	1	38	60	123	1	0	0	3	13	11	11	2	81	0	1	0	0	6	61	10	18	2	3	0	0	16	48	136	96	228	37	0	0	0	0	43	3	26	10	1	0	0	1	193	0	87	1	28	5	5	0	3	1216	1260	444	0
DENOVO14	33	21	39	28	17	8	0	0	80	158	0	126	1	0	0	22	15	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	145	0	0	0	0	0	31	0	3	4	36	20	24	1	9	0	0	59	0	5	0	0	0	659	0	743	496	4	0	2	21	66	48	0	0	0	0	57	88	131	0	0	3	5	10	14	0	2	0	9	19	14	29	39	4	0	23	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	274	667	465	945	678	1194	24	0
DENOVO15	407	260	87	209	51	132	756	23	233	850	0	106	152	8	67	57	73	84	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	19	8	82	151	309	23	0	10	74	47	26	5	26	171	77	23	121	0	8	26	44	263	435	585	247	323	346	39	0
DENOVO16	1195	168	72	110	376	475	514	20	11	227	0	12	50	57	45	44	33	36	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	103	8	1	40	312	93	5	0	0	25	104	73	12	19	146	49	4	5	0	6	13	4	264	82	50	194	362	118	4	0
DENOVO17	355	120	72	96	190	113	897	45	115	150	0	13	167	55	24	40	32	113	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	9	11	58	252	101	5	0	6	21	101	82	27	54	178	107	6	0	0	4	71	2	91	99	73	48	211	67	2	0
DENOVO18	41	278	161	201	1	213	455	37	41	61	1	93	206	8	205	148	258	370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	18	0	9	15	40	0	0	0	0	9	4	4	1	22	0	0	0	1	1	17	7	5	0	0	0	0	3	22	37	20	79	11	0	0	0	0	10	1	8	4	0	0	0	0	71	0	28	1	7	1	1	1	4	372	459	143	0
